Name,Brand,Price,Image URL,Product URL
Capita Defenders Of Awesome 158 2021 Snowboard,Capita,"
        € 479,95",https://images.blue-tomato.com/is/image/bluetomato/304300177_front.jpg-iyv8ZBIzWLbGS7x8RPXgRDlopoo/Capita+Defenders+Of+Awesome+158+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+158+2021+Snowboard-618458/
Ride Lasso 2021 Snowboardboots,Ride,"
        € 319,95",https://images.blue-tomato.com/is/image/bluetomato/304358461_front.jpg-BRoeclzO8cz80kuXq78i9MNkt30/Ride+Lasso+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Ride-Lasso+2021+Snowboardboots-624690/
Lib Tech Travis Rice Orca 156 2021 Snowboard,Lib Tech,"
        € 649,95",https://images.blue-tomato.com/is/image/bluetomato/304372980_front.jpg-poECSdH5ZRHNNSExRpiGkCAseMM/Lib+Tech+Travis+Rice+Orca+156+2021+Snowboard.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+156+2021+Snowboard-628803/
Union Atlas FC 2021 Snowboardbindung,Union,"
        € 539,95",https://images.blue-tomato.com/is/image/bluetomato/304300361_front.jpg-7FCQuSQAk2iN6TJAv36a76XtgbI/Union+Atlas+FC+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Atlas+FC+2021+Snowboardbindung-618604/
Burton Photon BOA Wide 2021 Snowboardboots,Burton,"
        € 359,95",https://images.blue-tomato.com/is/image/bluetomato/303923985_front.jpg-Eir4eAcvxqC8OGUjEjTIh1foBQo/Burton+Photon+BOA+Wide+2021+Snowboardboots.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Burton-Photon+BOA+Wide+2021+Snowboardboots-567178/
Union Atlas 2021 Snowboardbindung,Union,"
        € 299,95",https://images.blue-tomato.com/is/image/bluetomato/304300363_front.jpg-1G_MVxdQHvgh_-45QX7SqvY9Fs8/Union+Atlas+2021+Snowboardbindung.jpg?$b1$,https://www.blue-tomato.com/de-AT/product/Union-Atlas+2021+Snowboardbindung-618605/
Anon Greta 3 Helm,Anon,"
        € 79,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Anon-Greta+3+Helm-626081/
Nitro Woodcarver 155 2021 Snowboard,Nitro,"
        € 679,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Nitro-Woodcarver+155+2021+Snowboard-620591/
Burton Space 156cm Snowboard-Tasche,Burton,"
        € 54,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Space+156cm+Snowboard+Tasche-476937/
Union Force 2021 Snowboardbindung,Union,"
        € 249,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Force+2021+Snowboardbindung-618606/?colid=black
Capita Defenders Of Awesome 156 2021 Snowboard,Capita,"
        € 479,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+156+2021+Snowboard-618461/
DC The Laced 2021 Snowboardboots,DC,"
        € 319,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/DC-The+Laced+2021+Snowboardboots-614782/
Lib Tech Travis Rice Orca 153 2021 Snowboard,Lib Tech,"
        € 649,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Lib+Tech-Travis+Rice+Orca+153+2021+Snowboard-628802/
Union Falcor 2021 Snowboardbindung,Union,"
        € 339,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/?colid=arctic+white
DEELUXE Deemon PF 2021 Snowboardboots,DEELUXE,"
        € 309,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/DEELUXE-Deemon+PF+2021+Snowboardboots-615572/
Vans Sam Taxwood Standard MTE Winterschuhe,Vans,"
        € 184,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Vans-Sam+Taxwood+Standard+MTE+Winterschuhe-628301/
Burton Photon BOA Snowboard-Boots,Burton,"
        € 359,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Photon+BOA+Snowboard+Boots-567043/
Burton Cartel 2021 Snowboardbindung,Burton,"
        € 249,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Cartel+2021+Snowboardbindung-622738/
Burton Moto Snowboard-Boots,Burton,"
        € 199,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Moto+Snowboard+Boots-522448/
Burton Mission 2021 Snowboardbindung,Burton,"
        € 199,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Mission+2021+Snowboardbindung-622740/
Union Falcor 2021 Snowboardbindung,Union,"
        € 339,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Falcor+2021+Snowboardbindung-618608/
Burton Photon Step On 2021,Burton,"
        € 409,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Photon+Step+On+2021-567091/
Jones Snowboards Apollo Snowboard-Bindung 2021,Jones Snowboards,"
        € 499,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Apollo+Snowboard+Bindung+2021-629274/
Ride Hera 2021 Snowboardboots,Ride,"
        € 289,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Ride-Hera+2021+Snowboardboots-624731/
Union Flite Pro 2021 Snowboardbindung,Union,"
        € 159,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Flite+Pro+2021+Snowboardbindung-618612/
Ride Lasso Pro 2021 Snowboardboots,Ride,"
        € 349,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Ride-Lasso+Pro+2021+Snowboardboots-624686/
Burton Felix Boa 2021 Snowboardboots,Burton,"
        € 339,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Felix+Boa+2021+Snowboardboots-623037/
Burton Limelight 2020 Snowboardboots,Burton,"
        € 219,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Limelight+2020+Snowboardboots-566982/
Burton Ion Boa 2021 Snowboardboots,Burton,"
        € 449,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Ion+Boa+2021+Snowboardboots-622767/
Burton Cartel X 2021 Snowboardbindung,Burton,"
        € 299,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Cartel+X+2021+Snowboardbindung-622750/
Burton Felix Boa Snowboard-Boots,Burton,"
        € 339,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Felix+Boa+Snowboard+Boots-522751/
Union Trilogy 2021 Snowboardbindung,Union,"
        € 249,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Trilogy+2021+Snowboardbindung-618615/?colid=ash
Burton Limelight BOA Snowboard-Boots,Burton,"
        € 289,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Limelight+BOA+Snowboard+Boots-567044/
Burton Ruler Boa 2021 Snowboardboots,Burton,"
        € 319,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Burton-Ruler+Boa+2021+Snowboardboots-622769/?colid=blue
Ride Sage 2021 Snowboardboots,Ride,"
        € 229,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Ride-Sage+2021+Snowboardboots-624732/
Capita Defenders Of Awesome 154 2021 Snowboard,Capita,"
        € 479,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+154+2021+Snowboard-618456/
Capita Mercury 157 2021 Snowboard,Capita,"
        € 569,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Mercury+157+2021+Snowboard-618452/
Union Strata 2021 Snowboardbindung,Union,"
        € 279,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Union-Strata+2021+Snowboardbindung-618609/
Capita Defenders Of Awesome 161W 2021 Snowboard,Capita,"
        € 479,95","https:data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.blue-tomato.com/de-AT/product/Capita-Defenders+Of+Awesome+161W+2021+Snowboard-618463/
